Worksheet Row,Item / Pin Name,Current Column C,Current Column D,Recommended Column C,Recommended Column D,Priority,Why / Where to update,Pin Connection Guideline,Additional Info,Power Group,Decap,Decap Additional Info
11,Agilex 3 Device Schematic Review Worksheet,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
12,Version 1.1,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
13,Checklist,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
14,Global Settings,,,,,INFO,No change recommended from available schematic/QSF evidence.,,Status Summary,,,
16,Ordering Part Number,A3CW135BM16AI6S,,"QSF/DevSel target is A3CW135BM16AI6S. Schematic U9 symbol text currently shows A3CY135BM16AE6S on FPGA sheets; update schematic symbol/BOM/title-block device text to A3CW135BM16AI6S, or align all collateral if A3CY was intended.",ERROR,ERROR,"Critical OPN mismatch: A3CY is the without-HPS family in the worksheet OPN table, while this design uses HPS/EMIF and QSF selects A3CW135BM16AI6S.",,97,OK,,
17,,,,,,INFO,No change recommended from available schematic/QSF evidence.,,0,ERROR,,
18,Configuration Mode,AS,,AS x4 QSPI configuration. Schematic page 12 shows SDM_IO1/2/3/4/5/6/15 connected for AS flash; keep AS mode.,OK,OK,Matches QSPI configuration interface.,,9,WARNING,,
19,,,,,,INFO,No change recommended from available schematic/QSF evidence.,,0,NOT CHECKED,,
20,Use Sensors?,None,,None. Voltage inputs tied to GND and temperature diode left floating per unused-sensor guidance.,OK,OK,Rows 122-126 are consistent with sensors not used.,,185,NOT USED,,
21,,,,,,INFO,No change recommended from available schematic/QSF evidence.,,0,N.A.,,
22,Use Transceiver?,Yes,,"No for GTS hard transceivers. The RF ADRV9002 digital interface is HSIO/LVDS in bank 2A, not Agilex GTS. Keep reviewing unused GTS pins separately.",UPDATE,UPDATE,"QSF has no GTS assignments; row currently says Yes, which makes GTS rows look active.",,,,,
24,Use EMIF?,Yes,,Yes. HPS LPDDR4/EMIF pins are assigned in banks 3A_T/3A_B in QSF and schematic.,OK,OK,M16A pinout and QSF banks align.,,,,,
26,Use HPS?,Yes,,Yes. HPS is used for SDMMC and EMAC2; fix schematic OPN mismatch to A3CW before release.,WARNING,WARNING,"HPS usage is real, but the schematic device text currently names A3CY without-HPS family.",,,,,
30,Power,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
32,Voltage Regulator for SmartVID,,,SmartVID not required for selected A3CW135BM16AI6S OPN.,OK,OK,Worksheet message is correct.,You have selected a FPGA OPN that does not require SmartVID.,,,,
34,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,Power Group,Decap,Decap Additional Info
35,VCCP,connected correctly to 0.78V,OK,connected correctly to 0.78V,OK,OK,No change recommended from available schematic/QSF evidence.,"VCC and VCCP must operate at the same voltage level, should share the same power plane on the board, and be sourced from the same regulator. / For details about the recommended operating conditions, refer to the Electrical Characteristics section in the Agilex 3 FPGAs and SoCs Device Data Sheet. / Use the Power and Thermal Calculator and the Quartus Prime / Power Analyzer to determine the current requirements for VCCP and other power supplies. Decoupling for these pins depends on the decoupling requirements of the specific board.",VCCP supplies power to the periphery.,1,Bottom-side Capacitors :4x 10uF 0402 Periphery Capacitors :-,VR vendors capacitors recommendation must be compiled.
36,VCC,connected correctly to 0.78V,OK,connected correctly to 0.78V,OK,OK,No change recommended from available schematic/QSF evidence.,"VCC and VCCP must operate at the same voltage level, should share the same power plane on the board, and be sourced from the same regulator. / For details about the recommended operating conditions, refer to the Electrical Characteristics section in the Agilex 3 FPGAs and SoCs Device Data Sheet. / Use the Power and Thermal Calculator and the Quartus Prime / Power Analyzer to determine the current requirements for VCC and other power supplies. Decoupling for these pins depends on the decoupling requirements of the specific board.",VCC supplies power to the core.,1,Bottom-side Capacitors :4x 10uF 0402 Periphery Capacitors :-,VR vendors capacitors recommendation must be compiled.
37,VCCPT,connected correctly to 1.8V,OK,connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,"Connect VCCPT to a 1.8-V low noise switching regulator. You have the option to source the following from the same regulator as VCCPT: / - VCCIO_SDM, VCCIO_HPS, and VCCPT_HVIO / - VCCPLL_SDM, VCCPLL_HPS, and VCCADC with proper isolation filtering / Voltage spike ringing may be observed on VCCPT during device power-down sequencing if VCC is powered down before VCCPT, with the magnitude of the voltage spike ringing higher than VCCPT. This is the expected behavior and causes neither any functional failure nor reliability concerns to the device. / For more details about the decoupling recommendations for this voltage rail, refer to the Power Distribution Network Design Guidelines section in the PCB Design Guidelines User Guide: Agilex 3 FPGAs and SoCs. / For the power rail sharing, refer to the Power Supply Sharing Guidelines for Agilex 3 Devices section.","Power supply for the IOPLL, programmable power technology, and I/O pre-drivers.",2A,Bottom-side Capacitors :2x 4.7uF 0201 Periphery Capacitors :1x 10uF 0402,-
38,VCCRCORE,Connected correctly to 1.2V,OK,Connected correctly to 1.2V,OK,OK,No change recommended from available schematic/QSF evidence.,Connect the VCCRCORE to 1.2-V power supply. / You have the option to source VCCRCORE from the same regulator as VCCIO_PIO when you are using 1.2 V for VCCIO_PIO.,Power supply for programmable power technology.,2B,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :1x 10uF 0402,-
39,VCCH_SDM,connected correctly to 1.0V,OK,connected correctly to 1.0V,OK,OK,No change recommended from available schematic/QSF evidence.,You must connect this sense to the VCCERT_GTS (1.0 V) rail for the Agilex 3 device with transceiver and connect this sense to VCCL_SDM for the device without transceiver.,Voltage rail sense.,1,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :-,-
40,"VCCIO_PIO_2[A,B]T VCCIO_PIO_2[A,B]B VCCIO_PIO_3[A,B]T VCCIO_PIO_3[A,B]B","VCCIO_PIO_2A[T,B] CONNECTED TO 1.3V, VCCIO_PIO_3A[T,B] CONNECTED TO 1.1V ,",OK,"VCCIO_PIO_2A[T,B]=1.3 V for ADRV9002 LVDS/True Differential HSIO; VCCIO_PIO_3A[T,B]=1.1 V for HPS LPDDR4. Add Quartus I/O-standard and termination assignments and verify Fitter .pin/PTC.",WARNING,WARNING,"Hardware voltage plan matches guidance, but top.qsf has pin locations only and no IO_STANDARD/termination assignments.","Connect these pins to a 1.0 V, 1.05 V, 1.1 V, 1.2 V, or 1.3 V power supplies, depending on the I/O standard required by the specific sub-bank. / When the entire HSIO bank is unused, you may connect the VCCIO_PIO of the unused HSIO bank to GND, 1.0 V, 1.05 V, 1.1 V, 1.2 V, or 1.3 V. / If only one of the sub-bank within the same HSIO bank is unused, you must connect the VCCIO_PIO of the unused sub-bank to the same VCCIO_PIO voltage level as the other actively utilized sub-bank. / Do not leave the VCCIO_PIO floating. / For the voltage tolerance (+/-3% or +/-5%) in different use cases, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet. / You have option to connect VCCIO_PIO_T and VCCIO_PIO_B in the same I/O bank with different voltage level, for example, VCCIO_PIO_2AT (1.2 V) and VCCIO_PIO_2AB (1.1 V). / If you have LVDS TX signals on the sub-bank of your board, the VCCIO_PIO of this sub-bank must be connected to 1.3 V. / During the power-up sequence only, a transient current whose magnitude is less than the VCCIO_PIO operating static current may be observed as the VCCIO_PIO transistors become operational. This is the expected behavior and causes neither any functional failure nor reliability concerns to the device if the power-up or power-down sequence is followed. / For more details, refer to the Power Management User Guide: Agilex 3 FPGAs and SoCs and General-Purpose I/O User Guide: Agilex 3 FPGAs and SoCs. / For the power rail sharing, refer to the Power Supply Sharing Guidelines for Agilex 3 Devices section.","These are the supply voltage pins for the HSIO banks. Each sub-bank can support a different voltage level. Supported VCCIO standards include the following: / - 1.0-V / - 1.05-V / - 1.1-V / - 1.2-V / - 1.3-V / For more information about the supported pins, refer to the device pin-out file.",2B,Bottom-side Capacitors :2x 4.7uF 0201 Periphery Capacitors :1x 10uF 0402,Per IO bank
41,VCCIO_PIO_SDM,Connected correctly to 1.2V,OK,Connected correctly to 1.2V,OK,OK,No change recommended from available schematic/QSF evidence.,Connect these pins to VCCIO_PIO_3AT as 1.2 V when you use Avalon streaming interface x16 for FPGA configuration. Connect these pins to VCCRCORE if you do not use Avalon streaming interface x16 for FPGA configuration.,VCCIO_PIO voltage rail sense line.,2B,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :-,-
42,VCCIO_SDM,Connected correctly to 1.8V,OK,Connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,"Connect these pins to a 1.8-V power supply. / For more details about the decoupling recommendations for this voltage rail, refer to the Power Distribution Network Design Guidelines section in the PCB Design Guidelines User Guide: Agilex 3 FPGAs and SoCs. / For the power rail sharing, refer to the Power Supply Sharing Guidelines for Agilex 3 Devices section.",Configuration pins power supply.,2A,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :1x 10uF 0402,-
43,VCCPLLDIG_SDM,Connected correctly to 0.78v,OK,Connected correctly to 0.78v,OK,OK,No change recommended from available schematic/QSF evidence.,VCCPLLDIG_SDM must be sourced from the same regulator as VCCL_SDM with proper isolation filtering.,SDM block PLL power pins.,1,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :LC filter capacitors,-
44,VCCL_SDM,Connected correctly to 0.78v,OK,Connected correctly to 0.78v,OK,OK,No change recommended from available schematic/QSF evidence.,"For the devices with speed grade -6S, connect these pins to a 0.78-V power supply. For the devices with speed grade -7S , connect these pins to 0.75-V power supply.",SDM power supply.,1,Bottom-side Capacitors :2x 1uF 0201 Periphery Capacitors :-,-
45,VCCPLL_SDM,Connected correctly to 1.8V,OK,Connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,"With proper isolation filtering, you have the option to source VCCPLL_SDM from the same regulator as VCCPT. / Decoupling for these pins depends on the design decoupling requirements of the specific board.",VCCPLL_SDM supplies analog power to the SDM block PLLs.,2A,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :LC filter capacitors,-
46,GND,Connected correctly to gnd,OK,Connected correctly to gnd,OK,OK,No change recommended from available schematic/QSF evidence.,Connect all GND pins to the board ground plane.,Device ground pins.,-,-,-
47,VCCLSENSE,Connected to voltage regulator,OK,Connected to voltage regulator,OK,OK,No change recommended from available schematic/QSF evidence.,VCCLSENSE and GNDSENSE are differential remote sense pins for the VCC power. Connect the differential remote sense lines of your regulators to the respective VCCLSENSE and GNDSENSE pins. This compensates for the DC IR drop associated with the PCB and device package from the VCC power. Route these connections as differential pair traces and keep them isolated from any other noise source. / You must connect the VCCLSENSE and GNDSENSE lines to the regulator's remote sense inputs.,Differential sense line to external regulator.,-,-,-
48,GNDSENSE,Connected to voltage regulator,OK,Connected to voltage regulator,OK,OK,No change recommended from available schematic/QSF evidence.,VCCLSENSE and GNDSENSE are differential remote sense pins for the VCC power. Connect the differential remote sense lines of your regulators to the respective VCCLSENSE and GNDSENSE pins. This compensates for the DC IR drop associated with the PCB and device package from the VCC power. Route these connections as differential pair traces and keep them isolated from any other noise source. / You must connect the VCCLSENSE and GNDSENSE lines to the regulator's remote sense inputs.,Differential sense line to external regulator.,-,-,-
49,VCCADC,Connected correctly to 1.8V,OK,Connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,You must supply a low noise 1.8-V power supply to this pin if you are using the internal voltage sensors of the Agilex 3 device. / Tie this pin to VCCPT with proper isolation filtering.,ADC power pin for the voltage sensors.,2A,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :LC filter capacitors,-
50,VCCFUSEWR_SDM,Connected correctly to 1.8V,OK,Connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,Connect this pin to 1.8-V. You must source VCCFUSEWR_SDM and VCCPT from the same 1.8-V regulator.,"The required power supply to program (write) the optional, one-time programmable eFuses. These eFuses are an integral part of the Agilex 3 security architecture.",2A,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :1x 4.7uF 0402,-
51,VCCPT_HVIO,Connected correctly to 1.8V,OK,Connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,Connect these pins to a 1.8-V power supply. You must share the same regulator with VCCPT.,Pre-driver analog power supply pin for HVIO.,2A,Bottom-side Capacitors :2x 1uF 0201 Periphery Capacitors :-,Per IO bank
